storage_code,dna_extraction,storage_location,unique_ID,bombus_species,leg_or_swab,sex,floral_host,latitude_utm,longitude_utm,elevation,state,county,date_collected,temperature,wind_speed,cloud_cover,site_name,collector,notes,
,,,srd-chosenvalley-06aug21-fervidus-05-leg,fervidus,leg,female,monarda fistulosa,43.833567,-92.311656,,minnesota,fillmore,06-08-21,79,2,100,chosen valley,srd,,
,,,emk-site24-29july21-fervidus-01-swab,fervidus,swab,female,lotus corniculatus,,,,minnesota,,29-07-21,80,1,100,site 4,emk,,
,,,rek-site22-05aug21-affinis-01-swab,affinis,swab,male,heliopsis helianthoides,,,,minnesota,,05-08-21,72,2,100,site 22,rek,,
,,,emk-site22-27july21-affinis-01-swab,affinis,swab,male,monarda fistulosa,,,,minnesota,,27-07-21,84,2,5,site 22,emk,,
,,,emk-site26-30july21-fervidus-01-swab,fervidus,swab,male,cirsium vulgare,,,,minnesota,,30-07-21,76,1,100,site 26,emk,,
,,,rek-site26-30july21-fervidus-01-swab,fervidus,swab,female,centaurea stobe,,,,minnesota,,30-07-21,76,1,100,site 26,rek,,
,,,rek-site23-29july21-fervidus-01-swab,fervidus,swab,female,centaurea stobe,,,,minnesota,,29-07-21,77,5,100,site 23,rek,,
,,,mlb-stcroix-02aug21-impatiens-01-leg,impatiens,leg,female,asclepias tuberosa,45.946237,-92.606518,,minnesota,pine,02-08-21,81,0,60, st croix state park,mlb,,
,,,mlb-stcroix-02aug21-impatiens-01-swab,impatiens,swab,female,asclepias tuberosa,45.946237,-92.606518,,minnesota,pine,02-08-21,81,0,60, st croix state park,mlb,,
,,,mlb-stcroix-02aug21-impatiens-02-leg,impatiens,leg,female,asclepias tuberosa,45.946237,-92.606518,,minnesota,pine,02-08-21,81,0,60, st croix state park,mlb,,
,,,mlb-stcroix-02aug21-impatiens-02-swab,impatiens,swab,female,asclepias tuberosa,45.946237,-92.606518,,minnesota,pine,02-08-21,81,0,60, st croix state park,mlb,,
,,,mlb-stcroix-02aug21-impatiens-03-leg,impatiens,leg,female,nepeta cataria,45.946237,-92.606518,,minnesota,pine,02-08-21,81,0,60, st croix state park,mlb,,
,,,mlb-stcroix-02aug21-impatiens-03-swab,impatiens,swab,female,nepeta cataria,45.946237,-92.606518,,minnesota,pine,02-08-21,81,0,60, st croix state park,mlb,,
,,,mlb-stcroix-02aug21-impatiens-04-leg,impatiens,leg,female,nepeta cataria,45.946237,-92.606518,,minnesota,pine,02-08-21,81,0,60, st croix state park,mlb,,
,,,mlb-stcroix-02aug21-impatiens-04-swab,impatiens,swab,female,nepeta cataria,45.946237,-92.606518,,minnesota,pine,02-08-21,81,0,60, st croix state park,mlb,,
,,,mlb-stcroix-02aug21-impatiens-05-leg,impatiens,leg,female,echinaccea purpurea,45.946237,-92.606518,,minnesota,pine,02-08-21,81,0,60, st croix state park,mlb,,
,,,mlb-stcroix-02aug21-impatiens-05-swab,impatiens,swab,female,echinaccea purpurea,45.946237,-92.606518,,minnesota,pine,02-08-21,81,0,60, st croix state park,mlb,,
,,,srd-tiedemann-06aug21-fervidus-01-leg,fervidus,leg,female,monarda fistulosa,44.312288,-92.596099,,minnesota,,06-08-21,82,3,20,tiedemann,mlb,"mlb collected, but says srd on tube",
,,,srd-tiedemann-06aug21-fervidus-01-swab,fervidus,swab,female,monarda fistulosa,44.312288,-92.596099,,minnesota,,06-08-21,82,3,20,tiedemann,mlb,,
,,,srd-tiedemann-06aug21-fervidus-02-leg,fervidus,leg,female,cirsium discolor,44.312288,-92.596099,,minnesota,,06-08-21,82,3,20,tiedemann,srd,,
,,,srd-tiedemann-06aug21-fervidus-02-swab,fervidus,swab,female,cirsium discolor,44.312288,-92.596099,,minnesota,,06-08-21,82,3,20,tiedemann,srd,,
,,,srd-tiedemann-06aug21-fervidus-03-leg,fervidus,leg,female,cirsium discolor,44.312288,-92.596099,,minnesota,,06-08-21,82,3,20,tiedemann,srd,,
,,,srd-tiedemann-06aug21-fervidus-03-swab,fervidus,swab,female,cirsium discolor,44.312288,-92.596099,,minnesota,,06-08-21,82,3,20,tiedemann,srd,,
,,,srd-tiedemann-06aug21-fervidus-04-leg,fervidus,leg,female,monarda fistulosa,44.312288,-92.596099,,minnesota,,06-08-21,82,3,20,tiedemann,srd,,
,,,srd-tiedemann-06aug21-fervidus-04-swab,fervidus,swab,female,monarda fistulosa,44.312288,-92.596099,,minnesota,,06-08-21,82,3,20,tiedemann,srd,,
,,"Logan Lab, USDA, Utah",mlb-tiedemann-06aug21-affinis-01-leg,affinis,leg,female,monarda fistulosa,44.312288,-92.596099,,minnesota,,06-08-21,82,3,20,tiedemann,mlb,,
,,,mlb-tiedemann-06aug21-affinis-01-swab,affinis,swab,female,monarda fistulosa,44.312288,-92.596099,,minnesota,,06-08-21,82,3,20,tiedemann,mlb,,
,,"Logan Lab, USDA, Utah",mlb-tiedemann-06aug21-affinis-02-leg,affinis,leg,female,monarda fistulosa,44.312288,-92.596099,,minnesota,,06-08-21,82,3,20,tiedemann,mlb,,
,,,mlb-tiedemann-06aug21-affinis-02-swab,affinis,swab,female,monarda fistulosa,44.312288,-92.596099,,minnesota,,06-08-21,82,3,20,tiedemann,mlb,,
,,,mlb-troutbrook-18aug21-affinis-01-swab,affinis,swab,female,linaria vulgaris,,,,minnesota,ramsey,18-08-21,87,11,50,troutbrook,mlb,,
,,"Logan Lab, USDA, Utah",mlb-troutbrook-18aug21-affinis-01-leg,affinis,leg,female,linaria vulgaris,,,,minnesota,ramsey,18-08-21,87,11,50,troutbrook,mlb,,
,,,mlb-troutbrook-18aug21-fervidus-01-swab,fervidus,swab,female,securigera varia,,,,minnesota,ramsey,18-08-21,87,11,50,troutbrook,mlb,,
,,,mlb-troutbrook-18aug21-fervidus-01-leg,fervidus,leg,female,securigera varia,,,,minnesota,ramsey,18-08-21,87,11,50,troutbrook,mlb,"transferred to 1.5 ml tubes back in the lab, put in screw cap tubes in the field because I ran out of 1.5 ml tubes",
,,,mlb-troutbrook-18aug21-fervidus-02-swab,fervidus,swab,female,linaria vulgaris,,,,minnesota,ramsey,18-08-21,87,11,50,troutbrook,mlb,"transferred to 1.5 ml tubes back in the lab, put in screw cap tubes in the field because I ran out of 1.5 ml tubes",
,,,mlb-troutbrook-18aug21-fervidus-02-leg,fervidus,leg,female,linaria vulgaris,,,,minnesota,ramsey,18-08-21,87,11,50,troutbrook,mlb,"transferred to 1.5 ml tubes back in the lab, put in screw cap tubes in the field because I ran out of 1.5 ml tubes",
,,,mlb-troutbrook-18aug21-fervidus-03-swab,fervidus,swab,female,linaria vulgaris,,,,minnesota,ramsey,18-08-21,87,11,50,troutbrook,mlb,"transferred to 1.5 ml tubes back in the lab, put in screw cap tubes in the field because I ran out of 1.5 ml tubes",
,,,mlb-troutbrook-18aug21-fervidus-03-leg,fervidus,leg,female,linaria vulgaris,,,,minnesota,ramsey,18-08-21,87,11,50,troutbrook,mlb,"transferred to 1.5 ml tubes back in the lab, put in screw cap tubes in the field because I ran out of 1.5 ml tubes",
,,,ee-shakopee-11aug21-affinis-01-swab,affinis,swab,male,agastache foeniculum,44.782439,-93.498858,,minnesota,scott,11-08-21,82,13,5,shakopee,ee,"collected from private resident at 1808 Granite Dr, Shakopee, MN",
,,"Logan Lab, USDA, Utah",ee-shakopee-11aug21-affinis-01-leg,affinis,leg,male,agastache foeniculum,44.782439,-93.498858,,minnesota,scott,11-08-21,82,13,5,shakopee,ee,"collected from private resident at 1808 Granite Dr, Shakopee, MN",
,,,ee-shakopee-11aug21-affinis-02-swab,affinis,swab,male,agastache foeniculum,44.782439,-93.498858,,minnesota,scott,11-08-21,82,13,5,shakopee,ee,"collected from private resident at 1808 Granite Dr, Shakopee, MN",
,,"Logan Lab, USDA, Utah",ee-shakopee-11aug21-affinis-02-leg,affinis,leg,male,agastache foeniculum,44.782439,-93.498858,,minnesota,scott,11-08-21,82,13,5,shakopee,ee,"collected from private resident at 1808 Granite Dr, Shakopee, MN",
,,,ee-shakopee-11aug21-affinis-03-swab,affinis,swab,male,agastache foeniculum,44.782439,-93.498858,,minnesota,scott,11-08-21,82,13,5,shakopee,ee,"collected from private resident at 1808 Granite Dr, Shakopee, MN",
,,"Logan Lab, USDA, Utah",ee-shakopee-11aug21-affinis-03-leg,affinis,leg,male,agastache foeniculum,44.782439,-93.498858,,minnesota,scott,11-08-21,82,13,5,shakopee,ee,"collected from private resident at 1808 Granite Dr, Shakopee, MN",
,,,ee-shakopee-11aug21-affinis-04-swab,affinis,swab,male,agastache foeniculum,44.782439,-93.498858,,minnesota,scott,11-08-21,82,13,5,shakopee,ee,"collected from private resident at 1808 Granite Dr, Shakopee, MN",
,,"Logan Lab, USDA, Utah",ee-shakopee-11aug21-affinis-04-leg,affinis,leg,male,agastache foeniculum,44.782439,-93.498858,,minnesota,scott,11-08-21,82,13,5,shakopee,ee,"collected from private resident at 1808 Granite Dr, Shakopee, MN",
,,,ee-shakopee-11aug21-affinis-05-swab,affinis,swab,male,agastache foeniculum,44.782439,-93.498858,,minnesota,scott,11-08-21,82,13,5,shakopee,ee,"collected from private resident at 1808 Granite Dr, Shakopee, MN",
,,"Logan Lab, USDA, Utah",ee-shakopee-11aug21-affinis-05-leg,affinis,leg,male,agastache foeniculum,44.782439,-93.498858,,minnesota,scott,11-08-21,82,13,5,shakopee,ee,"collected from private resident at 1808 Granite Dr, Shakopee, MN",
,,,ee-shakopee-11aug21-affinis-06-swab,affinis,swab,male,agastache foeniculum,44.782439,-93.498858,,minnesota,scott,11-08-21,82,13,5,shakopee,ee,"collected from private resident at 1808 Granite Dr, Shakopee, MN",
,,"Logan Lab, USDA, Utah",ee-shakopee-11aug21-affinis-06-leg,affinis,leg,male,agastache foeniculum,44.782439,-93.498858,,minnesota,scott,11-08-21,82,13,5,shakopee,ee,"collected from private resident at 1808 Granite Dr, Shakopee, MN",
,,"Logan Lab, USDA, Utah",mlb-mccarthy-21jul21-affinis-01-leg,affinis,leg,,,,,,,,,,,,mccarthy lake,mlb,this sample was mislabeled with site Chosen Valley. I labeled a new tube and transferred the leg to it on sept 14. 2021,
,,,mlb-lonelake-09aug21-impatiens-01-swab,impatiens,swab,female,physostegia virginiana,,,,minnesota,hennepin,09-08-21,72,0,0,lone lake park,mlb,,
,,,mlb-lonelake-09aug21-impatiens-01-leg,impatiens,leg,female,physostegia virginiana,,,,minnesota,hennepin,09-08-21,72,0,0,lone lake park,mlb,,
,,,mlb-lonelake-09aug21-fervidus-01-swab,fervidus,swab,female,physostegia virginiana,,,,minnesota,hennepin,09-08-21,72,0,0,lone lake park,mlb,,
,,,mlb-lonelake-09aug21-fervidus-01-leg,fervidus,leg,female,physostegia virginiana,,,,minnesota,hennepin,09-08-21,72,0,0,lone lake park,mlb,,
,,,mlb-lonelake-09aug21-impatiens-02-swab,impatiens,swab,female,agastache foeniculum,,,,minnesota,hennepin,09-08-21,72,0,0,lone lake park,mlb,,
,,,mlb-lonelake-09aug21-impatiens-02-leg,impatiens,leg,female,agastache foeniculum,,,,minnesota,hennepin,09-08-21,72,0,0,lone lake park,mlb,,
,,,mlb-lonelake-09aug21-fervidus-01-swab,fervidus,swab,female,agastache foeniculum,,,,minnesota,hennepin,09-08-21,72,0,0,lone lake park,mlb,"Note: unique ID for mlb-lonelake-9aug21-fervidus-01-swab already exists, but this is what was written on the datasheeet; most likely should be mlb-lonelake-9aug21-fervidus-02-swab",
,,,mlb-lonelake-09aug21-fervidus-02-leg,fervidus,leg,female,agastache foeniculum,,,,minnesota,hennepin,09-08-21,72,0,0,lone lake park,mlb,,
,,,mlb-lonelake-09aug21-impatiens-03-swab,impatiens,swab,female,agastache foeniculum,,,,minnesota,hennepin,09-08-21,72,0,0,lone lake park,mlb,,
,,,mlb-lonelake-09aug21-impatiens-03-leg,impatiens,leg,female,agastache foeniculum,,,,minnesota,hennepin,09-08-21,72,0,0,lone lake park,mlb,,
,,,mlb-lonelake-09aug21-fervidus-03-swab,fervidus,swab,,agastache foeniculum,,,,minnesota,hennepin,09-08-21,72,0,0,lone lake park,mlb,Note: sex not indicated on datasheet,
,,,mlb-lonelake-09aug21-fervidus-03-leg,fervidus,leg,,agastache foeniculum,,,,minnesota,hennepin,09-08-21,72,0,0,lone lake park,mlb,Note: sex not indicated on datasheet,
,,,mlb-mccarthy-11aug21-fervidus-01-swab,fervidus,swab,female,monarda sp. ,,,,minnesota,wabasha,11-08-21,82,5,60,mccarthy lake,mlb,,
,,,mlb-mccarthy-11aug21-fervidus-01-leg,fervidus,leg,female,monarda sp. ,,,,minnesota,wabasha,11-08-21,82,5,60,mccarthy lake,mlb,,
,,,mlb-mccarthy-22aug21-fervidus-01-swab,fervidus,swab,male,astragalus canadensis,,,,minnesota,wabasha,22-08-21,73,9,0,mccarthy lake,mlb,,
,,,mlb-mccarthy-22aug21-fervidus-01-leg,fervidus,leg,male,astragalus canadensis,,,,minnesota,wabasha,22-08-21,73,9,0,mccarthy lake,mlb,,
,,,mlb-meadowlark-10aug21-fervidus-01-swab,fervidus,swab,,cirsium vulgare,,,,,,10-08-21,81,0,5,meadowlark,mlb,Notes: state and county missing since these are not listed on the sites google sheet for meadowlark; sex also missing from datasheet ,
,,,mlb-meadowlark-10aug21-fervidus-01-leg,fervidus,leg,,cirsium vulgare,,,,,,10-08-21,81,0,5,meadowlark,mlb,Note: sex not indicated on datasheet ,
,,,mlb-meadowlark-10aug21-fervidus-02-swab,fervidus,swab,,cirsium vulgare,,,,,,10-08-21,81,0,5,meadowlark,mlb,Note: sex not indicated on datasheet ,
,,,mlb-meadowlark-10aug21-fervidus-02-leg,fervidus,leg,,cirsium vulgare,,,,,,10-08-21,81,0,5,meadowlark,mlb,Note: sex not indicated on datasheet ,
,,,mlb-oakleaf-23aug21-fervidus-01-swab,fervidus,swab,male,cirsium discolor,,,,,,23-08-21,85,7,0,oakleaf,mlb,Note: state and county missing since these are not listed on teh sites google sheet for oakleaf,
,,,mlb-oakleaf-23aug21-fervidus-01-leg,fervidus,leg,male,cirsium discolor,,,,,,23-08-21,85,7,0,oakleaf,mlb,,
,,,mlb-kroschel-31aug21-impatiens-01-swab,impatiens,swab,female,solidago canadensis,,,,minnesota,kanabec,31-08-21,64,3,5,kroschel,mlb,,
,,,mlb-kroschel-31aug21-impatiens-01-leg,impatiens,leg,female,solidago canadensis,,,,minnesota,kanabec,31-08-21,64,3,5,kroschel,mlb,,
,,,mlb-kroschel-31aug21-impatiens-02-swab,impatiens,swab,female,solidago canadensis,,,,minnesota,kanabec,31-08-21,64,3,5,kroschel,mlb,,
,,,mlb-kroschel-31aug21-impatiens-02-leg,impatiens,leg,female,solidago canadensis,,,,minnesota,kanabec,31-08-21,64,3,5,kroschel,mlb,,
,,,mlb-kroschel-31aug21-fervidus-01-swab,fervidus,swab,female,trifolium pratense,,,,minnesota,kanabec,31-08-21,64,3,5,kroschel,mlb,,
,,,mlb-kroschel-31aug21-fervidus-01-leg,fervidus,leg,female,trifolium pratense,,,,minnesota,kanabec,31-08-21,64,3,5,kroschel,mlb,,
,,,mlb-kroschel-31aug21-fervidus-02-swab,fervidus,swab,female,trifolium pratense,,,,minnesota,kanabec,31-08-21,64,3,5,kroschel,mlb,,
,,,mlb-kroschel-31aug21-fervidus-02-leg,fervidus,leg,female,trifolium pratense,,,,minnesota,kanabec,31-08-21,64,3,5,kroschel,mlb,,
,,,mlb-kroschel-31aug21-fervidus-03-swab,fervidus,swab,male,trifolium pratense,,,,minnesota,kanabec,31-08-21,64,3,5,kroschel,mlb,,
,,,mlb-kroschel-31aug21-fervidus-03-leg,fervidus,leg,male,trifolium pratense,,,,minnesota,kanabec,31-08-21,64,3,5,kroschel,mlb,,
,,,rek-site28-23aug21-fervidus-01-swab,fervidus,swab,male,cirsium discolor,,,,minnesota,washington,23-08-21,31.5,0.6,5,site 28,rek,Note: temperature seems to be recorded in C ,
,,,rek-site13-12aug21-fervidus-01-swab,fervidus,swab,female,cirsium discolor,,,,minnesota,washington,12-08-21,27.8,0.9,0,site 13,rek,"Notes: temperature seems to be recorded in C, and it was written on datasheet that the windspeed was 0.9 with gusts; written in notes: O2 was captured outside of MNDot survey",
,,,emk-site13-12aug21-fervidus-02-swab,fervidus,swab,female,cirsium discolor,,,,minnesota,washington,12-08-21,27.8,0.9,0,site 13,emk,"Notes: temperature seems to be recorded in C, and it was written on datasheet that the windspeed was 0.9 with gusts; written in notes: O2 was captured outside of MNDot survey",
,,,rek-site31-17aug21-fervidus-01-swab,fervidus,swab,,cirsium discolor,,,,minnesota,washington,17-08-21,28.3,1.2,5,site 31,rek,Notes: sex is missing from datasheet and cloud cover says 5% plus haze,
,,,mlb-rush-13aug21-fervidus-01-swab,fervidus,swab,female,cirsium discolor,,,,minnesota,mahnomen,13-08-21,62,8,0,rush,mlb,,
,,,mlb-rush-13aug21-fervidus-01-leg,fervidus,leg,female,cirsium discolor,,,,minnesota,mahnomen,13-08-21,62,8,0,rush,mlb,,
,,,mlb-rush-13aug21-fervidus-02-swab,fervidus,swab,female,cirsium discolor,,,,minnesota,mahnomen,13-08-21,62,8,0,rush,mlb,,
,,,mlb-rush-13aug21-fervidus-02-leg,fervidus,leg,female,cirsium discolor,,,,minnesota,mahnomen,13-08-21,62,8,0,rush,mlb,,
,,,emk-site31-18aug21-affinis-01-swab,affinis,swab,female,cirsium discolor,,,,minnesota,washington,18-08-21,27.2,1.6,0,site 31,emk,Notes: cloud cover was 0% plus haze and temperature seems to be in C,
,,,rek-site18-16aug21-fervidus-01-swab,fervidus,swab,female,trifolium pratense,,,,minnesota,washington,16-08-21,23.6,2.8,2,site 18,rek,Note: temperature seems to be in C,
,,,mlb-rush-25aug21-fervidus-swab-01,fervidus,swab,female,solidago rigida ,,,,minnesota,mahnomen,25-08-21,73,8,10,rush,mlb,Note: swab and number were swapped on the unique ID ,
,,,mlb-rush-25aug21-fervidus-01-leg,fervidus,leg,female,solidago rigida ,,,,minnesota,mahnomen,25-08-21,73,8,10,rush,mlb,,
,,,mlb-rockwood-12aug21-impatiens-01-swab,impatiens,swab,female,helianthus sp. ,,,,minnesota,hubbard,12-08-21,73,21,50,rockwood ,mlb,,
I111 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-rockwood-12aug21-impatiens-01-leg,impatiens,leg,female,helianthus sp. ,,,,minnesota,hubbard,12-08-21,73,21,50,rockwood ,mlb,,
,,,emk-site9-20aug21-fervidus-01-swab,fervidus,swab,male,cirsium discolor,,,,minnesota,washington,20-08-21,30.4,1.7,65,site 9,emk,Note: temperature seems to be in C,
,,,rek-site25-09aug21-affinis-01-swab,affinis,swab,male,sonchus arvensis,,,,minnesota,washington,09-08-21,26.1,0.6,80,site 25,rek,Note: temperature seems to be in C; seen after MNDot survey of site 25,
,,,mlb-oldred-25aug21-impatiens-01-swab,impatiens,swab,female,bidens cernua,,,,minnesota,clearwater,25-08-21,62,0,10,old red lake trail,mlb,,
I110 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-oldred-25aug21-impatiens-01-leg,impatiens,leg,female,bidens cernua,,,,minnesota,clearwater,25-08-21,62,0,10,old red lake trail,mlb,,
,,,mlb-oldred-25aug21-impatiens-02-swab,impatiens,swab,female,bidens cernua,,,,minnesota,clearwater,25-08-21,62,0,10,old red lake trail,mlb,,
I105 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-oldred-25aug21-impatiens-02-leg,impatiens,leg,female,bidens cernua,,,,minnesota,clearwater,25-08-21,62,0,10,old red lake trail,mlb,,
,,,mlb-oldred-25aug21-impatiens-03-swab,impatiens,swab,female,bidens cernua,,,,minnesota,clearwater,25-08-21,62,0,10,old red lake trail,mlb,,
I106 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-oldred-25aug21-impatiens-03-leg,impatiens,leg,female,bidens cernua,,,,minnesota,clearwater,25-08-21,62,0,10,old red lake trail,mlb,,
,,,mlb-oldred-25aug21-impatiens-04-swab,impatiens,swab,female,bidens cernua,,,,minnesota,clearwater,25-08-21,62,0,10,old red lake trail,mlb,,
I107 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-oldred-25aug21-impatiens-04-leg,impatiens,leg,female,bidens cernua,,,,minnesota,clearwater,25-08-21,62,0,10,old red lake trail,mlb,,
,,,mlb-oldred-25aug21-impatiens-05-swab,impatiens,swab,female,bidens cernua,,,,minnesota,clearwater,25-08-21,62,0,10,old red lake trail,mlb,,
I109 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-oldred-25aug21-impatiens-05-leg,impatiens,leg,female,bidens cernua,,,,minnesota,clearwater,25-08-21,62,0,10,old red lake trail,mlb,,
,,,mlb-redlake-12aug21-fervidus-01-swab,fervidus,swab,,centaurea stoebe,,,,minnesota,clearwater,12-08-21,57,19,5,old red lake trail,mlb,Note: sex is missing from the datasheet,
,,,mlb-redlake-12aug21-fervidus-01-leg,fervidus,leg,,centaurea stoebe,,,,minnesota,clearwater,12-08-21,57,19,5,old red lake trail,mlb,Note: sex is missing from the datasheet,
,,,mlb-stcroix-31aug21-impatiens-01-swab,impatiens,swab,female,asteracea sp. (blue),,,,minnesota,pine,31-08-21,77,9,75,st croix state park,mlb,,
I92 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-stcroix-31aug21-impatiens-01-leg,impatiens,leg,female,asteracea sp. (blue),,,,minnesota,pine,31-08-21,77,9,75,st croix state park,mlb,,
,,,mlb-stcroix-31aug21-impatiens-02-swab,impatiens,swab,female,asteracea sp. (blue),,,,minnesota,pine,31-08-21,77,9,75,st croix state park,mlb,,
I84 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-stcroix-31aug21-impatiens-02-leg,impatiens,leg,female,asteracea sp. (blue),,,,minnesota,pine,31-08-21,77,9,75,st croix state park,mlb,,
,,,mlb-stcroix-31aug21-impatiens-03-swab,impatiens,swab,female,euthamia graminifolia,,,,minnesota,pine,31-08-21,77,9,75,st croix state park,mlb,,
I91 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-stcroix-31aug21-impatiens-03-leg,impatiens,leg,female,euthamia graminifolia,,,,minnesota,pine,31-08-21,77,9,75,st croix state park,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-01-swab,fervidus,swab,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-01-leg,fervidus,leg,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-02-swab,fervidus,swab,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-02-leg,fervidus,leg,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-03-swab,fervidus,swab,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-03-leg,fervidus,leg,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-04-swab,fervidus,swab,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-04-leg,fervidus,leg,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-05-swab,fervidus,swab,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-05-leg,fervidus,leg,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-06-swab,fervidus,swab,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-06-leg,fervidus,leg,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-07-swab,fervidus,swab,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-07-leg,fervidus,leg,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-08-swab,fervidus,swab,male,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-08-leg,fervidus,leg,male,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-09-swab,fervidus,swab,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-tiedemann-20aug21-fervidus-09-leg,fervidus,leg,female,cirsium discolor,,,,,,20-08-21,81,8,10,tiedemann,mlb,,
,,,mlb-rutledge-31aug21-impatiens-01-swab,impatiens,swab,female,solidago rigida ,,,,minnesota,pine,31-08-21,72,6,60,rutledge,mlb,,
I85 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-rutledge-31aug21-impatiens-01-leg,impatiens,leg,female,solidago rigida ,,,,minnesota,pine,31-08-21,72,6,60,rutledge,mlb,,
,,,mlb-rutledge-31aug21-impatiens-02-swab,impatiens,swab,female,solidago canadensis,,,,minnesota,pine,31-08-21,72,6,60,rutledge,mlb,,
I82 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-rutledge-31aug21-impatiens-02-leg,impatiens,leg,female,solidago canadensis,,,,minnesota,pine,31-08-21,72,6,60,rutledge,mlb,,
,,,mlb-rutledge-31aug21-impatiens-03-swab,impatiens,swab,female,solidago canadensis,,,,minnesota,pine,31-08-21,72,6,60,rutledge,mlb,,
I87 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-rutledge-31aug21-impatiens-03-leg,impatiens,leg,female,solidago canadensis,,,,minnesota,pine,31-08-21,72,6,60,rutledge,mlb,,
,,,mlb-rutledge-31aug21-impatiens-04-swab,impatiens,swab,female,solidago canadensis,,,,minnesota,pine,31-08-21,72,6,60,rutledge,mlb,,
I83 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-rutledge-31aug21-impatiens-04-leg,impatiens,leg,female,solidago,,,,minnesota,pine,31-08-21,72,6,60,rutledge,mlb,,
C2,,"box 6, -80 freezer B, UMN Bee Research Facility ",control2,impatiens,leg,female,none,,,,,,,,,,,,control,
I108 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-chosenvalley-22aug21-impatiens-01-leg,impatiens,leg,female,cirsium discolor,,,,minnesota,,22-08-21,69,9,0,chosen valley,mlb,,
,,,mlb-chosenvalley-22aug21-impatiens-01-swab,impatiens,swab,female,cirsium discolor,,,,minnesota,,22-08-21,69,9,0,chosen valley,mlb,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
